#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","NCTC 11168",19270,SAMEA1705929 ,PRJNA8,"Proteobacteria","delta/epsilon subdivisions",GCA_000009085.1 ,1.64148,30.5,chromosome:NC_002163.1/AL111168.1,-,1,1668,1572,2001/09/27,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1
"Pseudomonas fluorescens F113","F113",19546,SAMN02604099 ,PRJNA76715,"Proteobacteria","Gammaproteobacteria",GCA_000237065.1 ,6.84583,60.8,chromosome:NC_016830.1/CP003150.1,-,1,6169,5946,2011/12/09,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/065/GCF_000237065.1_ASM23706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/065/GCA_000237065.1_ASM23706v1
"Salmonella enterica subsp. enterica serovar Typhi str. CT18","CT18",19669,SAMEA1705914 ,PRJNA236,"Proteobacteria","Gammaproteobacteria",GCA_000195995.1 ,5.13371,51.8776,chromosome:NC_003198.1/AL513382.1; plasmid pHCM1:NC_003384.1/AL513383.1; plasmid pHCM2:NC_003385.1/AL513384.1,-,3,4829,4473,2001/11/07,2017/04/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/995/GCF_000195995.1_ASM19599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/995/GCA_000195995.1_ASM19599v1
"Xanthomonas campestris pv. campestris str. ATCC 33913","ATCC 33913",53522,SAMN02603845 ,PRJNA296,"Proteobacteria","Gammaproteobacteria",GCA_000007145.1 ,5.07619,65.1,chromosome:NC_003902.1/AE008922.1,-,1,4240,4179,2001/11/28,2017/03/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/145/GCF_000007145.1_ASM714v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/145/GCA_000007145.1_ASM714v1
"Yersinia pestis CO92","CO92",19684,SAMEA1705942 ,PRJNA34,"Proteobacteria","Gammaproteobacteria",GCA_000009065.1 ,4.82986,47.6065,chromosome:NC_003143.1/AL590842.1; plasmid pCD1:NC_003131.1/AL117189.1; plasmid pMT1:NC_003134.1/AL117211.1; plasmid pPCP1:NC_003132.1/AL109969.1,-,4,4230,3979,2001/10/15,2016/08/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1
"Actinobacillus pleuropneumoniae serovar 5b str. L20","L20",19697,SAMN02603665 ,PRJNA18221,"Proteobacteria","Gammaproteobacteria",GCA_000015885.1 ,2.27448,41.3,chromosome:NC_009053.1/CP000569.1,-,1,2171,2030,2007/02/23,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/885/GCF_000015885.1_ASM1588v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/885/GCA_000015885.1_ASM1588v1
"Haemophilus influenzae Rd KW20","",19710,SAMN02603991 ,PRJNA219,"Proteobacteria","Gammaproteobacteria",GCA_000027305.1 ,1.83014,38.2,chromosome:NC_000907.1/L42023.1,-,1,1765,1610,1995/07/25,2016/08/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1
"Escherichia coli O157:H7 str. Sakai","Sakai substr. RIMD 0509952",19668,SAMN01911278 ,PRJNA226,"Proteobacteria","Gammaproteobacteria",GCA_000008865.1 ,5.59448,50.4477,chromosome:NC_002695.1/BA000007.2; plasmid pO157:NC_002128.1/AB011549.2; plasmid pOSAK1:NC_002127.1/AB011548.2,-,3,5446,5288,2001/03/07,2017/07/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.1_ASM886v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/865/GCA_000008865.1_ASM886v1
"Helicobacter pylori 26695","26695",19252,SAMN02603995 ,PRJNA233,"Proteobacteria","delta/epsilon subdivisions",GCA_000008525.1 ,1.66787,38.9,chromosome:NC_000915.1/AE000511.1,-,1,1555,1445,1997/08/06,2016/08/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1
"Buchnera aphidicola str. Sg (Schizaphis graminum)","Sg",19570,SAMN02604269 ,PRJNA312,"Proteobacteria","Gammaproteobacteria",GCA_000007365.1 ,0.641454,25.3,chromosome:NC_004061.1/AE013218.1,-,1,625,560,2002/06/10,2017/03/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1
"Neisseria meningitidis MC58","MC58",19400,SAMN02603997 ,PRJNA251,"Proteobacteria","Betaproteobacteria",GCA_000008805.1 ,2.27236,51.5,chromosome:NC_003112.2/AE002098.2,-,1,2104,1943,2000/02/25,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/805/GCA_000008805.1_ASM880v1
"Xylella fastidiosa 9a5c","9a5c",19482,SAMN02603773 ,PRJNA271,"Proteobacteria","Gammaproteobacteria",GCA_000006725.1 ,2.73175,52.6433,chromosome:NC_002488.3/AE003849.1; plasmid pXF1.3:NC_002489.3/AE003850.3; plasmid pXF51:NC_002490.1/AE003851.1,-,3,2658,2379,2000/06/02,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/725/GCF_000006725.1_ASM672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1
"Agrobacterium radiobacter K84","K84",19911,SAMN02602977 ,PRJNA13402,"Proteobacteria","Alphaproteobacteria",GCA_000016265.1 ,7.2733,59.8671,chromosome 1:NC_011985.1/CP000628.1; chromosome 2:NC_011983.1/CP000629.1; plasmid pAgK84:NC_011994.1/CP000632.1; plasmid pAtK84b:NC_011990.1/CP000630.1; plasmid pAtK84c:NC_011987.1/CP000631.1,-,5,6941,6750,2009/01/27,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/265/GCF_000016265.1_ASM1626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/265/GCA_000016265.1_ASM1626v1
